 id,Type,MaterialName,Steel,High-strengthMaterial,SteelBillet,HotRolledSteelSheet,ColdRolledSteelSheet,ContinuousHotDipGalvanizing,ContinuousPaint,ColdForming,Welding,Processing,AfterHotDipGalvanizing,Galvalume,MagnesiumAluminumZincPlating,AfterBaking,Cost,Speed,StructuralRisk,Corrosive,Weight
1,,成本,12,1,3,5,3,3,2,3,3,1,10,1,2,5,54,,,,
2,,工期, ,, ,1,1,1,1,5, ,1,15,, , , ,,,,
3,管材,冷彎熱軋鋼管,12, ,3,5, , , ,3,3,1, ,, , ,27,7,10,10,10
4,管材,冷彎冷軋鋼管,12,,3,5,3, , ,3,3,1, ,, , ,30,7,10,10,10
5,管材,冷彎後鍍熱軋鋼管,12,,3,5, , , ,3,3,1,10,, , ,37,22,8,8,9
6,管材,冷彎後鍍冷軋鋼管,12,,3,5,3, , ,3,3,1,12,, , ,42,21,8,7,9
7,管材,冷彎預鍍熱軋鋼管,12,,3,5, ,3, ,5,3,1, ,1, , ,33,6,6,5,8
8,管材,冷彎預鍍冷軋鋼管,12,,3,5,3,3, ,5,,1, ,1, , ,33,6,6,5,8
9,管材,冷彎預鍍熱軋鋼管+鎂鋁,12,,3,6, ,3, ,5,,1, ,,3,,33,6,4,2,6
10,管材,冷彎預鍍冷軋鋼管+鎂鋁,12,,3,6,3,3, ,5,,1, ,,3,,36,6,4,2,6
11,管材,冷彎預鍍高強熱軋型鋼+鎂鋁,12,1,3,6, ,3, ,3,,2, ,,3,,33,6,3,1,5
12,管材,冷彎預鍍高強冷軋型鋼+鎂鋁,12,1,3,6,3,3, ,3,,2, ,,3,,36,6,3,1,5
13,型材,熱軋型鋼,12,,3,5, , , , ,5,5,10,, , ,40,21,12,6,20
14,型材,冷彎熱軋型鋼,12,,3,5, , , ,3,5,5,10,, , ,43,6,10,1,20
15,型材,冷彎後鍍熱軋型鋼,12,,3,5, , , ,3,,,10,, , ,33,21,12,6,20
16,型材,冷彎後鍍冷軋型鋼,12,,3,5,3, , ,3,,,12,, , ,38,21,13,8,18
17,型材,冷彎預鍍熱軋型鋼,12,,3,5, ,3, ,5,,, ,1, , ,29,6,15,10,20
18,型材,冷彎預鍍冷軋型鋼,12,,3,5,3,3, ,5,,, ,1, , ,32,6,16,12,18
19,型材,冷彎預鍍熱軋型鋼+鎂鋁,12,,3,6, ,3, ,5,,, ,,3,,32,6,18,18,16
20,型材,冷彎預鍍冷軋型鋼+鎂鋁,12,,3,6,3,3, ,5,,, ,,3,,35,6,20,20,16
21,型材,冷彎預鍍熱軋高強型鋼+鎂鋁,12,1,3,6, ,3, ,3,,2, ,,3,,33,6,23,20,14
22,型材,冷彎預鍍冷軋高強型鋼+鎂鋁,12,1,3,6,3,3, ,3,,2, ,,3,,36,6,23,20,14
