Id,GreenhouseType,Type,TypeDiagram,TrussSpacing,TubeSpecifications,Size,TubeThickness,ConnectingThickness,Weight,StructuralStressDiagram,StructuralDeformationDiagram,StructureStressMax ,MaximumStressPosition,MaximumStructuralChange,MaximumChangePosition
1,強固型,A,/images/greenhousestructure/RobustGreenhouse/A/A_Icon.png,,,,,,,/images/greenhousestructure/RobustGreenhouse/A/A_結構應力.png,/images/greenhousestructure/RobustGreenhouse/A/A_結構變形量.png,370,圓頂支撐鋼管,12.5,U型水槽
2,強固型,B,/images/greenhousestructure/RobustGreenhouse/B/B_Icon.png,,,,,,,/images/greenhousestructure/RobustGreenhouse/B/B_結構應力.png,/images/greenhousestructure/RobustGreenhouse/B/B_結構變形量.png,283,圓頂鋼管,12.5,U型水槽
3,強固型,C,/images/greenhousestructure/RobustGreenhouse/C/C_Icon.png,,,,,,,/images/greenhousestructure/RobustGreenhouse/C/C_結構應力.png,/images/greenhousestructure/RobustGreenhouse/C/C_結構變形量.png,281,圓頂鋼管,12.6,U型水槽
4,強固型,D,/images/greenhousestructure/RobustGreenhouse/D/D_Icon.png,,,,,,,/images/greenhousestructure/RobustGreenhouse/D/D_結構應力.png,/images/greenhousestructure/RobustGreenhouse/D/D_結構變形量.png,284,圓頂鋼管,12.5,U型水槽
5,強固型,E,/images/greenhousestructure/RobustGreenhouse/E/E_Icon.png,,,,,,,/images/greenhousestructure/RobustGreenhouse/E/E_結構應力.png,/images/greenhousestructure/RobustGreenhouse/E/E_結構變形量.png,267,圓頂鋼管,12.5,U型水槽
6,強固型,F,/images/greenhousestructure/RobustGreenhouse/F/F_Icon.png,,,,,,,/images/greenhousestructure/RobustGreenhouse/F/F_結構應力.png,/images/greenhousestructure/RobustGreenhouse/F/F_結構變形量.png,283,圓頂鋼管,12.4,U型水槽
7,強固型,G,/images/greenhousestructure/RobustGreenhouse/G/G_Icon.png,,,,,,,/images/greenhousestructure/RobustGreenhouse/G/G_結構應力.png,/images/greenhousestructure/RobustGreenhouse/G/G_結構變形量.png,277,圓頂鋼管,12.5,U型水槽
8,強固型,H,/images/greenhousestructure/RobustGreenhouse/H/H_Icon.png,,,,,,,/images/greenhousestructure/RobustGreenhouse/H/H_結構應力.png,/images/greenhousestructure/RobustGreenhouse/H/H_結構變形量.png,310,圓頂桁梁,12.5,U型水槽
9,簡易型,A,,1,1吋,?33.4,1.5,1.5,1.18,/images/greenhousestructure/SimpleGreenhouse/A/A_結構應力.png,/images/greenhousestructure/SimpleGreenhouse/A/A_結構變形量.png,352,,17,
10,簡易型,B,,0.5,1/2吋,?22,1.5,1.5,0.76,/images/greenhousestructure/SimpleGreenhouse/B/B_結構應力.png,/images/greenhousestructure/SimpleGreenhouse/B/B_結構變形量.png,243,,30,
11,簡易型,C,,0.5,1/2吋,?22,1.5,2,0.76,/images/greenhousestructure/SimpleGreenhouse/C/C_結構應力.png,/images/greenhousestructure/SimpleGreenhouse/C/C_結構變形量.png,227,,21,
12,簡易型,D,,0.5,3/4吋,?27,1.5,2,0.95,/images/greenhousestructure/SimpleGreenhouse/D/D_結構應力.png,/images/greenhousestructure/SimpleGreenhouse/D/D_結構變形量.png,165,,16,
